,Date,death_cases
588,2021-12-28,8
589,2021-12-29,8
590,2021-12-30,11
591,2021-12-31,9
592,2022-01-01,4
593,2022-01-02,7
594,2022-01-03,14
595,2022-01-04,16
596,2022-01-05,9
597,2022-01-06,10
598,2022-01-07,15
599,2022-01-08,10
600,2022-01-09,5
601,2022-01-10,4
602,2022-01-11,11
603,2022-01-12,11
604,2022-01-13,9
605,2022-01-14,9
606,2022-01-15,1
607,2022-01-16,5
608,2022-01-17,1
609,2022-01-18,13
610,2022-01-19,1
611,2022-01-20,5
612,2022-01-21,2
613,2022-01-22,1
614,2022-01-23,4
615,2022-01-24,1
616,2022-01-26,2
617,2022-01-27,2
618,2022-01-28,2
619,2022-01-29,3
620,2022-01-31,1
621,2022-02-02,1
622,2022-02-04,1
